page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
   9   294 image     256   256  icc     3   8  jpeg   no       691  0   113   113 4733B 2.4%
   9   295 smask     256   256  gray    1   8  jpeg   no       691  0   113   113 1841B 2.8%
   9   296 image     256   256  icc     3   8  jpeg   no       691  0   113   113 4733B 2.4%
   9   297 smask     256   256  gray    1   8  jpeg   no       691  0   113   113 1841B 2.8%
   9   298 image     256   256  icc     3   8  jpeg   no       691  0   113   113 4733B 2.4%
   9   299 smask     256   256  gray    1   8  jpeg   no       691  0   113   113 1841B 2.8%
   9   300 image    1166   303  icc     3   8  jpeg   no       428  0   150   150 2730B 0.3%
   9   301 smask    1166   303  gray    1   8  image  no       428  0   150   150 2553B 0.7%
   9   302 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   9   303 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   9   304 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   9   305 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   9   306 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   9   307 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   9   308 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   9   309 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   9   310 image     134    17  icc     3   8  image  no       539  0   150   148 1085B  16%
   9   311 smask     134    17  gray    1   8  image  no       539  0   150   148  510B  22%
   9   312 image     134    17  icc     3   8  image  no       539  0   150   148 1085B  16%
   9   313 smask     134    17  gray    1   8  image  no       539  0   150   148  510B  22%
   9   314 image     386   386  icc     3   8  jpeg   no       697  0   150   150 12.6K 2.9%
   9   315 smask     386   386  gray    1   8  jpeg   no       697  0   150   150 4659B 3.1%
   9   316 image     411   411  icc     3   8  jpeg   no       703  0   150   150 12.4K 2.5%
   9   317 smask     411   411  gray    1   8  jpeg   no       703  0   150   150 5197B 3.1%
   9   318 image     370   334  icc     3   8  jpeg   no       706  0   150   150 13.0K 3.6%
   9   319 image     343   324  icc     3   8  jpeg   no       709  0   150   150 11.7K 3.6%
  10   320 image      53    53  icc     3   8  jpeg   no       440  0   150   150  965B  11%
  10   321 smask      72    72  gray    1   8  image  no       440  0   203   203  602B  12%
  10   322 image      53    53  icc     3   8  jpeg   no       443  0   150   150 1028B  12%
  10   323 smask      72    72  gray    1   8  image  no       443  0   203   203  602B  12%
  10   324 image      53    53  icc     3   8  jpeg   no       446  0   150   150 1004B  12%
  10   325 smask      72    72  gray    1   8  image  no       446  0   203   203  602B  12%
  10   326 image      53    53  icc     3   8  jpeg   no       449  0   150   150 1007B  12%
  10   327 smask      72    72  gray    1   8  image  no       449  0   203   203  602B  12%
