Extracting raw images from cat-alfa.pdf...

Total images found: 989

Detailed list:
page68_img6.jpg: 887x887
page68_img7.jpg: 600x800
page69_img1.jpg: 1670x1175
page69_img2.jpg: 1167x306
page69_img3.jpg: 887x887
page69_img4.jpg: 670x377
page69_img5.jpg: 639x359
page69_img6.jpg: 625x350
page70_img1.jpg: 1512x1170
page70_img2.jpg: 1456x94
page70_img3.jpg: 1064x354
page70_img4.jpg: 411x411
page70_img5.jpg: 1650x1248
page71_img1.jpg: 1617x425
page71_img2.jpg: 1670x1175
page71_img3.jpg: 1280x665
page71_img4.jpg: 753x226
page71_img5.jpg: 495x255
page71_img6.jpg: 507x287
page72_img1.jpg: 1617x425
page72_img2.jpg: 1670x1175
page72_img3.jpg: 633x356
page72_img4.jpg: 887x887
page73_img1.jpg: 1617x425
page73_img2.jpg: 1670x1175
page73_img3.jpg: 1188x918
page73_img4.jpg: 753x226
page73_img5.jpg: 526x298
page73_img6.jpg: 539x303
page73_img7.jpg: 887x887
page74_img1.jpg: 1617x425
page74_img2.jpg: 1670x1175
page74_img3.jpg: 1155x893
page74_img4.jpg: 1188x918
page74_img5.jpg: 537x268
page74_img6.jpg: 539x303
page74_img7.jpg: 523x284
page75_img1.jpg: 1617x425
page75_img2.jpg: 1670x1175
page75_img3.jpg: 361x235
page75_img4.jpg: 1090x235
page75_img5.jpg: 537x268
page75_img6.jpg: 526x266
page75_img7.jpg: 499x270
page76_img1.jpg: 1617x425
page76_img2.jpg: 1670x1175
page76_img3.jpg: 1090x235
page76_img4.jpg: 660x216
page76_img5.jpg: 501x278
page76_img6.jpg: 518x314
page76_img7.jpg: 887x887
page77_img1.jpg: 1670x1175
page77_img2.jpg: 660x216
page77_img3.jpg: 1040x804
page77_img4.jpg: 714x252
page77_img5.jpg: 1040x804
page77_img6.jpg: 891x689
page77_img7.jpg: 1412x370
page78_img1.jpg: 1670x1173
page78_img2.jpg: 1040x804
page78_img3.jpg: 1040x804
page78_img4.jpg: 152x53
page78_img5.jpg: 255x210
page78_img6.jpg: 1412x370
page78_img7.jpg: 887x887
page79_img1.jpg: 1670x1173
page79_img2.jpg: 152x53
page79_img3.jpg: 1200x315
page79_img4.jpg: 406x406
page79_img5.jpg: 398x398
page79_img6.jpg: 431x431
page80_img1.jpg: 1670x1173
page80_img2.jpg: 152x53
page80_img3.jpg: 1412x370
page80_img4.jpg: 459x459
page80_img5.jpg: 887x887
page81_img1.jpg: 989x1274
page81_img2.jpg: 1456x94
page81_img3.jpg: 411x411
page81_img4.jpg: 1233x354
page81_img5.jpg: 1650x1206
page82_img1.jpg: 1434x377
page82_img2.jpg: 1670x1173
page82_img3.jpg: 1183x222
page82_img4.jpg: 448x448
